[*] Startup: Audio output = usb
[*] Mixer (USB mode): Found 'PCM' on card 1
[*] Startup: MIXER_CMD = -c 1 sset PCM
[*] Metadata Scanner: Waiting 30 seconds for system to settle...
 * Serving Flask app 'main'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.8.192:5000
[33mPress CTRL+C to quit[0m
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=La%20Voz%20de%20un%20Ángel%20-%20Yuridia/01%20-%20Yuridia%20-%20Ángel%20(Angels).flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Man’s%20Best%20Friend%20(Bonus%20Track%20Version)%20-%20Sabrina%20Carpenter/Man’s%20Best%20Friend%20(Bonus%20Track%20Version)%20-%20Sabrina%20Carpenter/01%20-%20Sabrina%20Carpenter%20-%20Manchild.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Metallica%20-%20Metallica/01%20-%20Metallica%20-%20Enter%20Sandman.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Mozart_%20Violin%20Concerto%20No.%203%20in%20G%20Major,%20K.%20216;%20Violin%20Concerto%20No.%205%20in%20A%20Major,%20K.%20219%20-%20Anne-Sophie%20Mutter/01%20-%20Anne-Sophie%20Mutter%20-%20Mozart_%20Violin%20Concerto%20No.%203%20in%20G%20Major,%20K.%20216_%20I.%20Allegro.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Opera%20Arias%20-%20Anna%20Netrebko/01%20-%20Anna%20Netrebko%20-%20Mozart_%20Idomeneo,%20re%20di%20Creta,%20K.366%20_%20Act%20I_%20_Quando%20avran%20fine%20omai_%20-%20_Padre,%20germani,%20addio!_.mp3 HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Para%20Mí%20-%20Yuridia/01%20-%20Yuridia%20-%20Con%20Sólo%20una%20Mirada.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Patient%20Number%209%20-%20Ozzy%20Osbourne/Patient%20Number%209%20-%20Ozzy%20Osbourne/01%20-%20Ozzy%20Osbourne%20-%20Patient%20Number%209%20(feat.%20Jeff%20Beck).flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Puccini_%20La%20bohème%20(2024%20Remaster)%20-%20Luciano%20Pavarotti/Disc%201/01%20-%20Rolando%20Panerai%20-%20Puccini_%20La%20bohème,%20Act%20I_%20Questo%20mar%20rosso%20(2024%20Remaster).flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Renée%20Fleming%20-%20The%20Beautiful%20Voice%20-%20Renée%20Fleming/01%20-%20Renée%20Fleming%20-%20G.%20Charpentier_%20Louise%20_%20Act%203_%20_Depuis%20le%20jour_.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Puccini_%20Madama%20Butterfly%20-%20Herbert%20von%20Karajan/Disc%201/01%20-%20Nicolai%20Gedda%20-%20Madama%20Butterfly,%20Act%201_%20_E%20soffitto%20…%20e%20pareti_%20(Pinkerton,%20Goro).flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Six%20Evolutions%20-%20Bach_%20Cello%20Suites%20-%20Yo-Yo%20Ma/Disc%201/01%20-%20Yo-Yo%20Ma%20-%20Unaccompanied%20Cello%20Suite%20No.%201%20in%20G%20major,%20BWV%201007_%20I.%20Prélude.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Songbird%20-%20Eva%20Cassidy/01%20-%20Eva%20Cassidy%20-%20Fields%20Of%20Gold%20(Songbird).flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Souvenirs%20-%20Anna%20Netrebko/01%20-%20Anna%20Netrebko%20-%20Kálmán_%20_Heia,%20heia,%20in%20den%20Bergen%20ist%20mein%20Heimatland_.mp3 HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Soy%20el%20Mismo%20-%20Prince%20Royce/01%20-%20Prince%20Royce%20-%20Soy%20el%20Mismo.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Teenage%20Dream%20-%20Katy%20Perry/01%20-%20Katy%20Perry%20-%20Teenage%20Dream.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=The%20Art%20of%20Renée%20Fleming%20-%20Renée%20Fleming/01%20-%20Renée%20Fleming%20-%20Schubert_%20Ave%20Maria,%20D.%20839.mp3 HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=The%20Fame%20-%20Lady%20GaGa/01%20-%20Lady%20GaGa%20-%20Just%20Dance.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=The%20Life%20of%20a%20Showgirl%20-%20Taylor%20Swift/01%20-%20Taylor%20Swift%20-%20The%20Fate%20of%20Ophelia.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=The%20Look%20Of%20Love%20-%20Diana%20Krall/01%20-%20Diana%20Krall%20-%20'S%20Wonderful.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=The%20Mozart%20Album%20-%20Anna%20Netrebko/01%20-%20Anna%20Netrebko%20-%20Mozart_%20Le%20nozze%20di%20Figaro,%20K.%20492,%20Act%20IV_%20No.%2028,%20Giunse%20alfin%20il%20momento%20-%20Deh%20vieni,%20non%20tardar.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Tracy%20Chapman%20-%20Tracy%20Chapman/01%20-%20Tracy%20Chapman%20-%20Talkin'%20Bout%20a%20Revolution.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Use%20Your%20Illusion%20I%20-%20Guns%20N%20Roses/01%20-%20Guns%20N'%20Roses%20-%20Right%20Next%20Door%20To%20Hell%20(2022%20Remaster).flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Use%20Your%20Illusion%20II%20-%20Guns%20N%20Roses/01%20-%20Guns%20N'%20Roses%20-%20Civil%20War.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=VIDA%20-%20Luis%20Fonsi/01%20-%20Luis%20Fonsi%20-%20Sola.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Vivaldi_%20The%20Four%20Seasons%20(Live)%20-%20Anne-Sophie%20Mutter/01%20-%20Anne-Sophie%20Mutter%20-%20Vivaldi_%20Concerto%20for%20Violin%20and%20Strings%20in%20E%20Major,%20Op.%208,%20No.%201,%20RV%20269%20_La%20Primavera__%20I.%20Allegro%20(Live).flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=上海灘%20-%20葉麗儀/01%20-%20葉麗儀%20-%20上海灘%20(無線電視劇[上海灘]主題曲).flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=勁歌精選%20-%20劉德華/01%20-%20劉德華%20-%20如果妳是我的傳說.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=天空%20-%20王菲/01%20-%20王菲%20-%20天空.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=寬容%20-%20張信哲/01%20-%20張信哲%20-%20不要對他說.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=愛像一首歌%20-%20蔡琴/01%20-%20Chin%20Tsai%20-%20Wei%20Feng%20Wang%20Shi%20(Album%20Version).mp3 HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=我只在乎你%20-%20鄧麗君/01%20-%20鄧麗君%20-%20酒醉的探戈.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=極品天碟%20BEYOND%20-%20Beyond/01%20-%20Beyond%20-%20光輝歲月.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=極品天碟%20鄧麗君%20-%20鄧麗君/01%20-%20鄧麗君%20-%20恰似你的溫柔.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=江蕙%20-%20江蕙/03%20-%20江蕙%20-%20再相會.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=環球萃取升級精選%20-%20劉德華/01%20-%20劉德華%20-%20緣盡%20(電影_龍鳳茶樓_主題曲).flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=精選（Remastered）%20-%20蔡琴/01%20-%20Tsai%20Ching%20-%20霓虹燈%20(Remastered).flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=蔡琴不了情演唱會%20-%20蔡琴/Disc%201/01%20-%20蔡琴%20-%20天涯歌女.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=鄧麗君15週年%20-%20鄧麗君/Disc%201/01%20-%20鄧麗君%20-%20你可知道我愛誰%20(電影《吳哥窟之戀》插曲).flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "GET / HTTP/1.1" 200 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "GET /api/volume HTTP/1.1" 200 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "GET /api/system/audio_output HTTP/1.1" 200 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "GET /api/volume HTTP/1.1" 200 -
192.168.8.222 - - [11/Aug/2026 09:10:52] "GET /api/songs?type=music HTTP/1.1" 200 -
